Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary
Andres Machado,29,ve VE,R,R,"6' 1""",232,"Apr 22, 1993",3,51,0,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0.1,
Jake McGee,35,us US,L,L,"6' 4""",229,"Aug 6, 1986",13,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,
Joey Meneses,30,mx MX,R,R,"6' 3""",240,"May 6, 1992",1st,56,55,56,56,0,0,40,0,0,0,3,0,22,24,0,1,0,1.1,
Patrick Murphy,27,us US,R,R,"6' 5""",211,"Jun 10, 1995",3,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,
Josh Palacios,26,us US,L,R,"6' 1""",200,"Jul 30, 1995",2,29,11,29,21,0,0,0,0,0,0,9,0,12,21,4,8,5,-0.2,
Francisco Perez,24,do DO,B,L,"6' 2""",227,"Jul 20, 1997",2,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,
Israel Pineda,22,ve VE,R,R,"5' 11""",217,"Apr 3, 2000",1st,4,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,-0.2,
Tanner Rainey,29,us US,R,R,"6' 2""",250,"Dec 25, 1992",5,29,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0.2,"$860,000"
Erasmo Ramírez,32,ni NI,R,R,"6' 0""",220,"May 2, 1990",11,60,2,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,1.5,"$100,000"
Victor Robles,25,do DO,R,R,"6' 0""",194,"May 19, 1997",6,132,110,132,128,0,0,0,0,0,0,0,128,0,128,2,0,7,1.8,"$1,650,000"
Josh Rogers,27,us US,L,L,"6' 3""",211,"Jul 10, 1994",4,16,3,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.1,
Tommy Romero,24,us US,R,R,"6' 2""",222,"Jul 8, 1997",1st,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,
Keibert Ruiz,23,ve VE,B,R,"6' 0""",227,"Jul 20, 1998",3,112,98,112,106,0,106,0,0,0,0,0,0,0,0,1,13,0,1.7,
Aaron Sanchez,29,us US,R,R,"6' 4""",212,"Jul 1, 1992",8,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.9,"$100,000"
Aníbal Sánchez,38,ve VE,R,R,"6' 0""",207,"Feb 27, 1984",16,14,14,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.9,
Juan Soto,23,do DO,L,L,"6' 2""",224,"Oct 25, 1998",5,101,100,101,99,0,0,0,0,0,0,0,0,99,99,1,1,0,3.8,"$17,100,000"
Dee Strange-Gordon,34,us US,L,R,"5' 11""",166,"Apr 22, 1988",11,23,15,22,20,1,0,0,0,0,13,3,4,0,7,1,1,2,-0.4,
Stephen Strasburg,33,us US,R,R,"6' 5""",239,"Jul 20, 1988",13,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,"$35,000,000"
Jackson Tetreault,26,us US,R,R,"6' 5""",189,"Jun 3, 1996",1st,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,
Lane Thomas,26,us US,R,R,"6' 0""",198,"Aug 23, 1995",4,146,125,146,142,0,0,0,0,0,0,73,56,43,142,2,9,1,1.6,
Mason Thompson,24,us US,R,R,"6' 6""",244,"Feb 20, 1998",2,24,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0.5,
Ildemaro Vargas,30,ve VE,B,R,"6' 0""",195,"Jul 16, 1991",6,53,51,53,52,1,0,0,1,43,9,0,0,0,0,0,1,0,1.6,
Luke Voit,31,us US,R,R,"6' 2""",258,"Feb 13, 1991",6,53,53,53,26,0,0,26,0,0,0,0,0,0,0,27,0,0,0.1,
Austin Voth,30,us US,R,R,"6' 2""",215,"Jun 26, 1992",5,19,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,"$875,000"
Jordan Weems,29,us US,L,R,"6' 4""",212,"Nov 7, 1992",3,32,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,
